year,total_zakat,avg_wealth
0,13350.970000000003,6446.807000000001
1,18676.4,7895.1
2,23089.56250000001,9299.261375
3,27025.805937499998,10664.060315625002
4,30542.293289062505,11993.694382734375
5,33975.953456835945,13288.991848166017
6,37206.509620415054,14551.983751961867
7,40356.301879904655,15783.477733162821
8,43427.34933290705,16984.26123983375
9,46548.295599584395,18153.835283837907
