,0,1,2,3,4,5,6,7,8,9
agent_0,6225.6,7912.56,9557.346000000001,11161.01235,12724.58704125,14249.072365218752,15735.445556088283,17184.659417186078,18597.642931756425,19975.301858462517
agent_1,6243.0,8903.925,11498.326874999999,14027.868703125,16494.171985546876,18898.817685908205,21243.3472437605,23529.26356266649,25758.031973599827,27931.08117425983
agent_2,4013.0,6548.0,8919.3,11231.3175,13485.534562499999,15683.396198437498,17826.31129347656,19915.653511139644,21952.762173361152,23938.943119027124
agent_3,4311.8,4850.6,5389.400000000001,5793.465000000001,6187.428375000001,6571.542665625001,6946.054098984377,7311.202746509767,7667.222677847023,8014.342110900848
agent_4,5124.700000000001,5995.282500000001,6844.100437500001,7671.697926562501,8478.60547839844,9265.34034143848,10032.406832902518,10780.296662079956,11509.489245527959,12220.45201438976
agent_5,12415.2,14767.020000000002,17060.044500000004,19295.743387500002,21475.549802812504,23600.861057742193,25673.03953129864,27693.413543016173,29663.27820444077,31583.89624932975
agent_6,6046.400000000001,8264.640000000001,10427.424000000003,12536.138400000003,14592.134940000004,16596.731566500002,18551.2132773375,20456.832945404065,22314.812121768966,24126.341818724744
agent_7,2815.7000000000003,3967.4000000000005,5119.1,6142.8225,7140.9519375,8114.128139062501,9062.974935585939,9988.10056219629,10890.098048141384,11769.54559693785
agent_8,2633.6000000000004,4200.200000000001,5766.800000000001,7189.230000000001,8576.099250000003,9928.296768750004,11246.689349531254,12532.122115792974,13785.41906289815,15007.383586325697
agent_9,6066.0,8494.35,10861.991250000001,13170.441468750001,15421.180432031251,17615.65092123047,19755.25964819971,21841.378156994717,23875.343703069848,25858.460110493103
agent_10,4298.700000000001,5705.4000000000015,6969.465000000002,8201.928375000001,9403.580165625002,10575.190661484377,11717.510894947269,12831.273122573588,13917.191294509248,14975.961512146518
agent_11,1986.9,9458.285000000002,10017.727875,10563.184678125,11095.005061171874,11613.529934642576,12119.091686276512,12612.014394119598,13092.614034266608,13561.198683409943
agent_12,5353.9,6615.952499999999,7846.453687499999,9046.1923453125,10215.937536679687,11356.439098262694,12468.428120806126,13552.617417785972,14609.701982341323,15640.359432782789
agent_13,3030.7,3822.3999999999996,4614.099999999999,5405.799999999999,6062.354999999999,6702.496124999999,7326.633721874999,7935.167878828123,8528.488681857421,9106.976464810987
agent_14,11668.8,14354.880000000001,16973.808,19527.2628,22016.88123,24444.25919925,26810.95271926875,29118.478901287028,31368.31692875485,33561.909005535985
agent_15,6754.200000000001,7756.545000000002,8733.831375000002,9686.685590625002,10615.718450859378,11521.525489587895,12404.687352348199,13265.770168539495,14105.325914326007,14923.892766467858
