,0,1,2,3,4,5,6,7,8,9
agent_20,22130.67060090721,31634.130914982306,40900.00472120552,49934.23168227315,58742.6029693141,67330.76497417902,75704.22292892233,83868.34443479705,91828.3629030249,99589.38090954705
agent_21,236514.77728227052,233883.86280595625,231318.72119154982,228817.70811750356,226379.22037030847,224001.69481679326,221683.60740211591,219423.47217280552,217219.84032422787,215071.29927186467
agent_22,339049.05152262596,337206.0973118469,335409.21695633733,333657.2586097155,331949.09922175924,330283.64381850185,328659.8248003259,327076.6012576044,325532.9583034509,324027.90642315126
agent_23,549536.0017526373,543758.9983153814,538126.4199640568,532634.6560715154,527280.1862762875,522059.57822594035,516969.48537685187,512006.6448489906,507167.8753343258,502450.07505752775
agent_24,1410866.7079928613,1386692.577272343,1363122.7998198376,1340142.2668036448,1317736.247112857,1295890.3779143388,1274590.6554457836,1253823.4260389423,1233575.377367272,1213833.5299123935
agent_25,614160.2453135344,608995.9054967817,603960.6741754478,599051.3236371472,594264.7068623041,589597.7555068322,585047.477935247,580610.9573029515,576285.3496864634,572067.8822603874
agent_26,750572.8936909264,735798.3233414214,721393.1172506541,707348.041312156,693654.0922721204,680302.4919580857,667284.6816519018,654592.3166033726,642217.2606810565,630151.5811567984
agent_27,76408.60738418307,80006.36493783812,83514.1785526518,86934.29682709514,90268.9121446774,93520.16207932009,96690.13076559671,99780.85023471642,102794.30171710814,105732.41691244008
agent_28,218841.33832355737,219688.49856891914,220514.47980814686,221319.81151639388,222105.00993193474,222870.57838708707,223617.00763086058,224344.77614353976,225054.35044340196,225746.1853857676
agent_29,669018.7160438943,657026.7498336427,645334.5827786475,633934.7199000272,622819.8535933723,611982.8589443838,601416.7891616201,591114.8711234254,581070.5010361857,571277.2402011268
agent_30,14024.197653703179,17225.291745484465,20346.358484971217,23389.398555970798,26356.36262519539,29249.15259268937,32069.622810996,34819.58127384496,37500.7907751227,40114.9700388685
agent_31,20511.174249196883,30587.05072437003,40411.030287663845,49989.41036187532,59328.33093423151,68433.7784922788,77311.5898613749,85967.4559462436,94406.92537899058,102635.40807591888
agent_32,79267.87675972667,85304.58872702174,91190.38289513442,96929.0322090443,102524.21529010643,107979.518794142,113298.43971057667,118484.38760410048,123540.6868002862,128470.57851656727
